0,"""Suicídio"""
1,*ASSISTA  E COMPARTILHE* 🇧🇷🇧🇷❤❤❤🇧🇷🇧🇷 Neste  vamos salvar vidas. A automutilação e o suicídio entre crianç…
2,Prefeitura promove palestras sobre prevenção ao suicídio | Jornal de Alagoas
3,"🎗️Setembro Amarelo - Mês de Combate ao Suicídio Nesse mês de empatia, é bom lembrar que Yoongi sempre falou sobre saúde…"
4,"prevenção ao suicídio:  📞 188 📞 0800 273 8255 📞 0800 290 0024  se pelo menos 5 pessoas divulgarem já ajuda, é muito importan…"
5,A bom por que depender de Galhardo é suicídio
6,"Precisamos falar sobre suicídio! Não julgue a dor do outro, não chame de drama a dor que você não sente.  🎗🦋💛 …"
7,Suicídio causou mais mortes em policiais do que confronto com crime   Foto: Juliano Olejas
8,O suicídio causa mais de 800 mil mortes a cada ano. É mais do que todos os homicídios e as guerras no mundo. Entenda por…
9,"Em luta contra a depressão, jovem pastor de famosa igreja comete suicídio"
10,A prevenção ao suicídio também deve acontecer no dia a dia e ao longo de todo ano. Conheça melhor os si…
11,"prevenção ao suicídio:  📞 188 📞 0800 273 8255 📞 0800 290 0024  se pelo menos 5 pessoas divulgarem já ajuda, é muito impor…"
12,"Gente, bora fazer um tuitaço. Compartilhe .  Você que me segue pode também ser um agente de prevenção ao suic…"
13,eu acordei e me deparei com a notícia de que um jovem pastor de 30 anos cometeu suicidio. e detalhe: ele era defensor da saúde…
14,"se vc pensa em suicídio, abra seu coração para alguém! Talvez exista uma resposta! Vc não pode partir, a dor que sentirão…"
15,evitando o suicídio dos meus amigos e planejando o meu
16,Eu sei muito bem o que você sente. Perdi a pessoa mais importante da minha vida para o suicídio. Faz dez anos e não se passa um dia que não penso nela. 😭😭😭. Ele não passa de um imbecil!
17,"Setembro amarelo, mês de combate ao suicídio. Você não está sozinho, O  está com você!  Se preferir, O CVV –…"
18,"Acho que todos sabem que setembro ""amarelo"" é o mês da prevenção do suicídio, e queríamos lembrar vocês que temos mais uma l…"
19,"Dois pontos que eu quero destacar:  1. ""A expressão do desejo suicida nunca deve ser interpretada como simples ameaça ou ch…"
20,não tem nada que me deixa mais devastada que suicídio. nadinha.  eu não acompanhava o ministério do pastor Jarrid Wilson…
21,"No  vale lembrar que os homens negros são o grupo mais vulnerável ao suicídio, reflexo da depressão e da a…"
22,"Setembro é o mês da prevenção ao suicídio e à automutilação. O deputado , juntamente com parlamentares de out…"
23,Como se ensina uma criança a respeitar o diferente sem lhe dar razões convincentes para respeitar? Quais seriam essas razões? O bullying é muito grave. É causa até de suicídio.
24,"E suicídio. Sem Lula não tem PT. Nem os outros partidos realmente de esquerda, pois se originaram do PT."
25,"Dois pontos que eu quero destacar:  1. ""A expressão do desejo suicida nunca deve ser interpretada como simples ameaça ou chantagem emocional.""  2. O que não se deve fazer quando alguém pensa em suicídio: Condenar, banalizar, opinar.  Antes de se valer de militante, APRENDA"
26,"Autora de um livro sobre o suicídio sob o ponto de vista de quem fica, a jornalista explica que a pessoa apresenta uma s…"
27,"um jovem pastor cometeu suicídio. sério, estou devastada.   por favor, cuidem dos pastores e líderes de vocês. incentiv…"
28,"""Bastam apenas alguns segundos para nos arrependermos para o resto da vida. Existe dentro de nós uma fera enjaulada com barras…"
29,"Hoje, no Simpósio de Prevenção ao Suicídio e à Automutilação, na Câmara, fiz um chamado para que todos os estudantes seja…"
30,Suicídio mata mais policiais que operações durante serviço
31,Cometer suicidio parece cada vez mais uma hipótese pra mim
32,"Precisamos falar sobre suicídio! Não julgue a dor do outro, não chame de drama a dor que você não sente.  🎗🦋💛"
33,Junte-se à campanha você também e ajude a prevenir o suicídio.    https://t.co…
34,Prefeitura realiza ação de conscientização sobre a prevenção ao suicídio
35,"Nossa campanha  está linda. Agradeço ao Bernardinho, ao Lars Grael, à Regina Duarte e à Luiza Brunet por tere…"
36,VOCÊ NÃO ESTÁ SOZINHO! 🎗  10/09 - o dia mundial de prevenção ao suicídio.
37,"prevenção ao suicídio:  📞 188 📞 0800 273 8255 📞 0800 290 0024  se pelo menos 5 pessoas divulgarem já ajuda, é muito importante.…"
38,Taxa de mortalidade por suicídio no Piauí é quase o dobro do índice nacional; saiba como buscar ajuda | Piauí | G1
39,Bato na mesma tecla. Este Polvo só morre por suicídio que apenas será provocado com vitórias dentro das 4 linhas do FC…
40,"qualquer formação com a trinca Aírton, Nenê e Ganso juntos somados ao NULO (Nem).... é suicídio. Posso estar muito enganado mas vão esperar uma derrota pro Cor e mais uma pra mandar o OO embora... e se por acaso o Marcão assumir em algum intervalo é B na certa."
41,"TUA VIDA IMPORTA. TUA EXISTÊNCIA É LINDA. FIQUE VIVA (O).  Não tenha vergonha de pedir ajuda, não cogite em gritar quando a…"
42,"Feminicídio: 61% negras  Mortes de policiais: 75% fora do serviço; 97% homens; 51,7% negros.  Teve mais policial vítima de su…"
43,"Saiba identificar os sintomas, isso pode salvar vidas. Existem muitos mitos sobre a depressão que muitos levam como verdade. É…"
44,Mais um caso de suicídio de pastor. Eu admito que nunca em toda a minha vida eu fiz algo...
45,Isso é tão triste 💔  espero que descanse em paz e conforte os corações de todos que por um segundo pensaram em suicídio 💛
