0,PRATES LEMBRA SUICÍDIO DE GETÚLIO MAS ESQUECE CAFÉ FILHO -
1,Streaming: Por Treze Razões: do suicídio para o whodunnit
2,Guardian: líderes globais devem salvar o Brasil do suicídio bolsonarista
3,pensando seriamente em cometer um suicidio
4,"suicídio coletivo , bota ?"
5,ai acontece um suicídio e perguntam o motivo
6,Sabe o nome disso isentão? Suicídio político! Novo virou um partido que tem o excelente Marcel Van Hatt…
7,"Querida humanidade, Sobre a Amazônia e todas as catástrofes ambientais, vamos ser claros sobre uma coisa: não estamos matando o Planeta Terra, ele sobreviverá apesar e depois de nós. Estamos cometendo suicídio, destruindo o frágil equilíbrio que permite nossa existência. É isso."
8,"As pessoas não se importam comigo, se importam com a culpa que elas vão sentir quando eu cometer suicídio e é apenas isso"
9,aniversário nesse mês e ânimo de suicídio fala fala
10,Suicídio coletivo amei me chamem
11,"Os amigos dele se preocuparam com Riley, já que na época ele havia tentado suicídio e não estava muito bem, mas ele garantiu…"
12,"Quando o detetive chegou à cena do crime, de primeira pensou que havia sido algum tipo de acidente ou causa natural de morte…"
13,"Prevenção de suicídio: 📞 188 📞 0800 273 8255 📞 0800 290 0024  Se pelo menos 5 pessoas compartilharem já ajuda, é muito imp…"
14,"Hoje o presidente Jair Bolsonaro afirmou que ""a imprensa está acabando"" e atacou especificamente o Grupo Globo. ""O jorna…"
15,Parei pra ler os comentários e fiquei??????  Setembro aparece um montão lutando pela depressao e prevenção ao suicidio hipo…
16,ih praia ao fim-de-semana em agosto é suicidio
17,mas se ela morreu com um tiro como eles n tinha visto isso? achando q era suicídio?
18,Evangelho Segundo Espiritismo - Cap 5. O Suicídio e a Loucura  via
19,"Tourniquet é uma das mais maravilhosas, talvez a que eu mais goste. Eu levei anos e anos e anos pra conseguir entender a letra dessa música. Acho que tem só dois anos que entendi que se trata de alguém querendo suicídio. PESADÃO. My God, my tourniquet"
20,"A uma plateia de empresários de rádio e TV de SC, Bolsonaro disse hoje que “O jornal Valor Econômico, que é da Globo,…"
21,-Educação nas escolas péssima -taxa de suicídio aumentando -falta de segurança -amazônia em chamas E o nosso presidente postando print que suspendeu series LGBT.👍🏼🤢🤮
22,"Eventualmente, ele começou a enviar mensagens agressivas para Emma pelo Snapchat, uma delas dizia: ""você está morta para mim,…"
23,"Ela automaticamente ligou para uma ambulância, e, quando ela contou o que aconteceu pelo telefone, eles imaginaram que ela te…"
24,"O suicídio vem bem antes da corda no pescoço, ou dos pulsos cortados na banheira... O suicídio começa quando o vazio se inst…"
25,"Basta tratar o meio-ambiente como um direito difuso, assim como previsto na Constituição. O cara trata como se…"
26,Amazônia em Chamas Dolar lá no alto Educação um lixo Segurança péssima Taxa de suicídio dobrando  Mas enquanto tudo isso acon…
27,"suicidio n kkkk mas tá foda msm pelo menos vc quase chorou, eu chorei que nem criança no onibus"
28,"Os pais de Emma ficaram aliviados e viram que ela estava levando isso a sério. por outro lado, Riley não estava. Ele decidiu…"
29,mo?????? suicidio nao eh a opção ok
30,"Suicídio entre jovens: ""Ele se despediu de todo mundo e ninguém acreditou"""
31,ensinar sobre suicídio coletivo pro namorado da sua amiga é essencial
32,"Esse negócio da Amazônia, vou te contar hein. Dá um desânimo na pessoa, uma tristeza, misericórdia viu? Juro, nunca vou entender como algo tão óbvio é tão desacreditado por uma porrada de pessoas. Tamo cometendo suicídio véi, tamo aos pouquinhos matando tudo. Af :("
33,Pai mata filho de 2 anos enforcado e comete suicídio
34,"Pergunto: Onde estava o parlamentar Bolsonaro, quando a mídia omitiu do povo brasileiro, por mais de 30 anos, a roubalheira que acontecia descaradamente, já que sabia de..."
35,Bolsonaro diz que a imprensa está cometendo suicídio
36,"Sonhei com um suicidio essa noite, pena que não era o meu"
37,"Isso não vai acontecer. E vamos morrer todos, vítimas de suicídio, porque matamos o nosso próprio planeta. …"
38,"Isso não vai acontecer. E vamos morrer todos, vítimas de suicídio, porque matamos o nosso próprio planeta."
39,"QUATRO aulas de inglês por semana ,vontade se SUICÍDIO"
40,na última vez q ela veio dormir aqui em casa a mãe dela achou q a gente ia cometer suicídio duplo?????
41,bom a gnt tem 3 opções: começar a matar capitalista agora mantendo aí um pique pra compensar os últimos anos parados. Suicí…
42,Como? Passou mal? Suicídio?
43,Qual seria um melhor suicídio  1-arma 2-pular de um lar bem alto
44,hoje é um péssimo dia pra ter aula sobre suicídio o universo me odeiq por acaso
45,"É impossível dormir com este calor, que suicídio"
46,"Eu diria mais que as tatuagens muitas vezes dependem do sentido delas, se já há um comportamento para o suicídio a tatuagem pode vir como sinal de um adolescente, ok, mas maior parte das pessoas tatua-se porque quer marcar algo que sucedeu na sua vida ou pela beleza em si."
